"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Gabon,48992,,307.0,,48674.0,,11.0,,"21,013",132,"1,621,909","695,641","2,331,533",Africa,48,"7,595",1,,,5
Andorra,48015,,165.0,,47563.0,,287.0,14,"619,844","2,130","249,838","3,225,256","77,463",Europe,2,469,0,,,"3,705"
Papua New Guinea,46864,,670.0,,43982.0,,2212.0,7,"5,043",72,"249,149","26,813","9,292,169",Australia/Oceania,198,"13,869",37,,,238
Curaçao,45986,,295.0,,44720.0,,971.0,3,"277,812","1,782","496,693","3,000,640","165,529",North America,4,561,0,,,"5,866"
Aruba,44180,,236.0,,42438.0,,1506.0,2,"410,560","2,193","177,885","1,653,068","107,609",North America,2,456,1,,,"13,995"
Mauritius,42576,,1050.0,,40814.0,,712.0,,"33,400",824,"358,675","281,374","1,274,727",Africa,30,"1,214",4,,,559
Togo,39500,,290.0,,39209.0,,1.0,,"4,550",33,"811,922","93,530","8,680,837",Africa,220,"29,934",11,,,0.1
Guinea,38563,,468.0,,37757.0,,338.0,8,"2,781",34,"660,107","47,607","13,865,691",Africa,360,"29,628",21,,,24
Bahamas,38084,,844.0,,36366.0,,874.0,1,"95,087","2,107","257,839","643,767","400,516",North America,11,475,2,,,"2,182"
Lesotho,34790,,723.0,,25980.0,,8087.0,,"15,990",332,"431,221","198,199","2,175,699",Africa,63,"3,009",5,,,"3,717"
Haiti,34246,,860.0,,33361.0,,25.0,,"2,932",74,"132,422","11,337","11,680,283",North America,341,"13,582",88,,,2
Mali,33150,,743.0,,32331.0,,76.0,,"1,544",35,"804,562","37,467","21,473,764",Africa,648,"28,901",27,,,4
